drugbank_id,chembl_id,smiles,canonical_smiles,token_count,truncated,pIC50,active
DB00114,CHEMBL82202,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,26,False,5.0,False
DB00117,,N[C@@H](CC1=CNC=N1)C(O)=O,N[C@@H](Cc1c[nH]cn1)C(=O)O,21,False,,
DB00119,,CC(=O)C(O)=O,CC(=O)C(=O)O,11,False,,
DB00120,,N[C@@H](CC1=CC=CC=C1)C(O)=O,N[C@@H](Cc1ccccc1)C(=O)O,23,False,,
DB00121,CHEMBL857,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,33,False,8.428291168191313,True
DB00122,CHEMBL920,C[N+](C)(C)CCO,C[N+](C)(C)CCO,11,False,5.795880017344075,False
DB00123,,NCCCC[C@H](N)C(O)=O,NCCCC[C@H](N)C(=O)O,15,False,,
DB00125,CHEMBL1485,N[C@@H](CCCNC(N)=N)C(O)=O,N=C(N)NCCC[C@H](N)C(=O)O,19,False,5.0,False
DB00126,,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,28,False,,
DB00127,CHEMBL23194,NCCCNCCCCNCCCN,NCCCNCCCCNCCCN,5,False,6.4089353929735005,False
DB00128,,N[C@@H](CC(O)=O)C(O)=O,N[C@@H](CC(=O)O)C(=O)O,19,False,,
DB00129,,NCCC[C@H](N)C(O)=O,NCCC[C@H](N)C(=O)O,15,False,,
DB00130,,N[C@@H](CCC(N)=O)C(O)=O,NC(=O)CC[C@H](N)C(=O)O,19,False,,
DB00132,,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,25,False,,
DB00133,,N[C@@H](CO)C(O)=O,N[C@@H](CO)C(=O)O,15,False,,
DB00134,,CSCC[C@H](N)C(O)=O,CSCC[C@H](N)C(=O)O,15,False,,
DB00135,,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,N[C@@H](Cc1ccc(O)cc1)C(=O)O,27,False,,
DB00136,,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,68,False,,
DB00138,CHEMBL590540,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,28,False,2.669586226650809,False
DB00139,,OC(=O)CCC(O)=O,O=C(O)CCC(=O)O,11,False,,
DB00141,,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,38,False,,
