filename,score,cluster_id,drugbank_id,smiles,molecular_weight,logp,HBA,HBD,RotBonds,AromaticRings,CHEMBL_ID,IC50,IC50_Unit,IC50_nM,pIC50,TPSA,NumRings,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHBA,NumHBD
DB00398_docking_min1.mol2,-8.8,10,DB00398,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,464.8310000000001,5.549700000000002,4.0,3.0,5.0,3.0,CHEMBL1336,0.003034,nM,0.003034,11.517984423549288,92.35,3.0,32.0,11.0,5.0,3.0,0.0,0.0,4.0,3.0
DB06148_docking_min1.mol2,-6.4,291,DB06148,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,264.372,3.0839000000000016,2.0,0.0,0.0,2.0,CHEMBL6437,0.006,nM,0.006,11.221848749616356,6.48,4.0,20.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0
DB06691_docking_min1.mol2,-5.8,414,DB06691,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,285.391,2.658400000000001,4.0,0.0,7.0,2.0,CHEMBL511,0.014,nM,0.014,10.853871964321762,28.6,2.0,21.0,4.0,7.0,2.0,0.0,0.0,4.0,0.0
DB01037_docking_min1.mol2,-4.9,524,DB01037,C[C@H](CC1=CC=CC=C1)N(C)CC#C,187.286,2.1826,1.0,0.0,4.0,1.0,CHEMBL972,0.017,nM,0.017,10.769551078621726,3.24,1.0,14.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0
DB00980_docking_min1.mol2,-6.0,373,DB00980,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2,259.34899999999993,2.5676000000000005,2.0,1.0,4.0,1.0,CHEMBL1218,0.0208,nM,0.0208,10.681936665037238,38.33,3.0,19.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0
DB02709_docking_min1.mol2,-6.9,200,DB02709,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,228.247,2.9738000000000016,3.0,3.0,2.0,2.0,CHEMBL165,0.0225,nM,0.0225,10.647817481888636,60.69,2.0,17.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0
DB06654_docking_min1.mol2,-7.9,67,DB06654,C[C@H](NCC1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O,302.34900000000005,2.3681,3.0,2.0,7.0,2.0,CHEMBL396778,0.023,nM,0.023,10.638272163982409,64.35,2.0,22.0,5.0,7.0,2.0,0.0,0.0,3.0,2.0
DB06589_docking_min1.mol2,-9.1,5,DB06589,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1,437.5290000000002,3.1390400000000005,8.0,2.0,5.0,4.0,CHEMBL477772,0.02889,nM,0.02889,10.539252458155802,119.02999999999999,4.0,31.0,10.0,5.0,4.0,0.0,0.0,8.0,2.0
DB05294_docking_min1.mol2,-7.3,130,DB05294,COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,475.3620000000001,5.004200000000004,6.0,1.0,6.0,3.0,CHEMBL24828,0.04,nM,0.04,10.397940008672036,59.510000000000005,4.0,30.0,8.0,6.0,3.0,1.0,1.0,6.0,1.0
DB00540_docking_min1.mol2,-6.2,328,DB00540,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,263.384,3.826400000000003,1.0,1.0,3.0,2.0,CHEMBL445,0.04,nM,0.04,10.397940008672036,12.03,3.0,20.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0
DB01411_docking_min1.mol2,-8.4,30,DB01411,O=C(NC1=C2OC(=CC(=O)C2=CC=C1)C1=NNN=N1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1,481.51200000000034,4.627100000000003,7.0,2.0,9.0,5.0,CHEMBL21333,0.044,nM,0.044,10.356547323513812,123.00000000000001,5.0,36.0,9.0,9.0,5.0,0.0,0.0,7.0,2.0
DB01367_docking_min1.mol2,-6.0,381,DB01367,C#CCN[C@@H]1CCC2=CC=CC=C12,171.243,1.8967,1.0,1.0,2.0,1.0,CHEMBL887,0.05,nM,0.05,10.30102999566398,12.03,2.0,13.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
DB06626_docking_min1.mol2,-7.3,132,DB06626,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,386.4800000000001,4.639100000000003,4.0,2.0,5.0,4.0,CHEMBL1289926,0.05132,nM,0.05132,10.28971335229711,70.67,4.0,28.0,6.0,5.0,4.0,0.0,0.0,4.0,2.0
DB01113_docking_min1.mol2,-7.0,180,DB01113,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1,339.3910000000001,3.860000000000003,5.0,0.0,6.0,3.0,CHEMBL19224,0.059,nM,0.059,10.229147988357855,49.81,3.0,25.0,5.0,6.0,3.0,0.0,0.0,5.0,0.0
DB05015_docking_min1.mol2,-8.5,25,DB05015,ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1,318.354,2.006,4.0,3.0,5.0,2.0,CHEMBL408513,0.059,nM,0.059,10.229147988357855,95.5,2.0,22.0,7.0,5.0,2.0,0.0,0.0,4.0,3.0
DB00619_docking_min1.mol2,-8.8,11,DB00619,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,493.6150000000002,4.590320000000004,7.0,2.0,7.0,4.0,CHEMBL941,0.06,nM,0.06,10.221848749616356,86.28,5.0,37.0,8.0,7.0,4.0,1.0,1.0,7.0,2.0
DB06594_docking_min1.mol2,-7.6,99,DB06594,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,243.30599999999995,2.527,2.0,1.0,4.0,2.0,CHEMBL10878,0.0761,nM,0.0761,10.118615343229427,38.33,2.0,18.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0
DB00715_docking_min1.mol2,-6.4,282,DB00715,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,329.3710000000001,3.326500000000002,4.0,1.0,4.0,2.0,CHEMBL490,0.08,nM,0.08,10.096910013008056,39.72,4.0,24.0,5.0,4.0,2.0,2.0,1.0,4.0,1.0
DB11629_docking_min1.mol2,-6.9,208,DB11629,CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,435.9040000000003,4.390100000000003,4.0,1.0,5.0,3.0,CHEMBL426559,0.09,nM,0.09,10.045757490560677,76.37,4.0,29.0,8.0,5.0,3.0,1.0,0.0,4.0,1.0
DB00904_docking_min1.mol2,-6.3,307,DB00904,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,293.37000000000006,3.1285200000000017,4.0,0.0,2.0,3.0,CHEMBL46,0.09,nM,0.09,10.045757490560677,39.82,4.0,22.0,4.0,2.0,3.0,1.0,0.0,4.0,0.0
DB00292_docking_min1.mol2,-6.0,364,DB00292,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,244.294,2.669100000000001,4.0,0.0,4.0,2.0,CHEMBL681,0.1,nM,0.1,10.0,44.12,2.0,18.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0
DB06684_docking_min1.mol2,-9.4,1,DB06684,NC(=O)C1=CC2=CC(=CC=C2O1)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1,441.5350000000002,4.029580000000003,5.0,2.0,7.0,4.0,CHEMBL439849,0.11,nM,0.11,9.958607314841776,102.28999999999999,5.0,33.0,7.0,7.0,4.0,1.0,1.0,5.0,2.0
DB04876_docking_min1.mol2,-7.3,129,DB04876,OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N,303.406,1.1742799999999998,4.0,2.0,3.0,0.0,CHEMBL142703,0.12,nM,0.12,9.920818753952377,76.36,5.0,22.0,5.0,3.0,0.0,5.0,5.0,4.0,2.0
DB11791_docking_min1.mol2,-9.2,3,DB11791,CNC(=O)C1=C(F)C=C(C=C1)C1=NN2C(CC3=CC4=C(C=C3)N=CC=C4)=CN=C2N=C1,412.42800000000005,3.429000000000001,6.0,1.0,4.0,5.0,CHEMBL3188267,0.13,nM,0.13,9.886056647693165,85.07000000000001,5.0,31.0,8.0,4.0,5.0,0.0,0.0,6.0,1.0
DB01104_docking_min1.mol2,-6.2,330,DB01104,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12,306.236,5.179600000000004,1.0,1.0,2.0,2.0,CHEMBL809,0.141,nM,0.141,9.85078088734462,12.03,3.0,20.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0
DB00589_docking_min1.mol2,-6.6,243,DB00589,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC,338.4550000000001,2.841400000000001,2.0,2.0,3.0,2.0,CHEMBL157138,0.173,nM,0.173,9.761953896871203,51.370000000000005,4.0,25.0,5.0,3.0,2.0,2.0,0.0,2.0,2.0
