Properties,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Mol. Formula,C26H30NO4S2+,C18H24N2O5,C28H31NO2,C25H28N8O2,C25H34FN3O2,C24H34N2O5,C15H10ClN3O3,C21H31N3O5,C19H23NO3,C22H27F3O4S
Mol. Weight (g/mol),484.66,348.40,413.56,472.55,427.56,430.55,315.72,405.50,313.40,444.52
Molar Polarizability (arb.),130.52,91.16,125.06,135.48,121.47,116.41,83.68,108.39,90.03,106.70
Molar Refractivity (cm^3),130.52,91.16,125.06,135.48,121.47,116.41,83.68,108.39,90.03,106.70
Log P,4.67,1.13,5.73,1.15,4.67,2.77,3.04,1.24,3.19,3.47
HBD,1,3,1,1,1,2,1,4,1,2
HBA,6,4,3,10,3,5,4,5,4,5
Polar Surface Area (Å^2),55.76,106.94,32.70,116.86,44.81,95.94,84.60,132.96,39.72,74.60
Molecular Volume (A^3),130.52,91.16,125.06,135.48,121.47,116.41,83.68,108.39,90.03,106.70
No. stereo centers,1,3,2,1,0,5,0,3,2,9
No. of atoms,33,25,31,35,31,31,22,29,23,30
Lipinski Rule,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lipophilicity (qual.),high,moderate,very high,moderate,high,moderate,high,moderate,high,high
Polarity (qual.),low,high,low,high,low,high,moderate,high,low,moderate
Distribution Vd (qual.),likely high,moderate,likely high,moderate,likely high,moderate,moderate,moderate,moderate,moderate
Clearance (qual.),low,high,low,high,low,moderate,moderate,high,moderate,moderate
Half-life (qual.),long,intermediate,long,intermediate,long,intermediate,intermediate,intermediate,intermediate,intermediate
